0.093699	0.093539	0.103330	0.103235	0.093506	0.103299	0.103331	0.093762	0.093571	0.103170	
0.161092	0.161348	0.175940	0.176197	0.161028	0.176101	0.176069	0.161092	0.161509	0.176133	
0.290728	0.290376	0.316647	0.316649	0.290407	0.316585	0.316551	0.290184	0.289895	0.317000	
0.541135	0.540110	0.589230	0.589456	0.541006	0.589392	0.589455	0.542030	0.540654	0.589263	
1.057276	1.056956	1.154042	1.152768	1.056094	1.153090	1.152764	1.056891	1.057178	1.153784	
2.089717	2.090453	2.277937	2.277371	2.090262	2.277528	2.278132	2.089779	2.090484	2.278094	
4.090021	4.089275	4.460047	4.460107	4.089126	4.460130	4.460345	4.091539	4.089626	4.459158	
8.104756	8.107906	8.835897	8.836065	8.104791	8.834593	8.837015	8.108002	8.101937	8.838982	
16.14349	16.14895	17.63553	17.63618	16.14446	17.63014	17.63035	16.14582	16.14646	17.63476	
32.24464	32.24068	35.20268	35.19954	32.24769	35.20420	35.19690	32.25131	32.24337	35.18890	
64.52340	64.53150	70.50653	67.85702	64.53426	70.47116	70.50565	64.52473	64.51498	70.53266	
130.3283	130.4630	130.1876	130.4528	130.4760	130.4504	130.4625	130.4910	130.4973	130.4625	
