0.160896	0.161216	0.161248	0.161024	0.161152	0.160960	0.161600	0.161120	0.161408	0.160960	
0.288640	0.288448	0.289184	0.289152	0.288352	0.288320	0.288768	0.288480	0.288576	0.288608	
0.543392	0.543904	0.542656	0.541664	0.543520	0.542656	0.541568	0.541696	0.542144	0.543264	
1.046336	1.047840	1.051680	1.047488	1.052192	1.047808	1.050688	1.047808	1.047392	1.048288	
2.068512	2.065632	2.055904	2.054080	2.054080	2.053600	2.054752	2.053888	2.054432	2.054336	
4.078272	4.077600	4.079104	4.078560	4.099072	4.076736	4.077280	4.077728	4.077184	4.075296	
8.111296	8.150528	8.109024	8.150976	8.114784	8.151936	8.112032	8.116064	8.114240	8.152608	
16.36214	16.31722	16.32314	16.31939	16.32342	16.32122	16.31037	16.31872	16.32064	16.35456	
32.66928	32.78797	32.79018	32.64512	32.66192	32.66659	32.65373	32.64573	32.62694	32.67210	
65.36342	65.34826	65.38403	65.38515	65.56995	65.37232	65.56349	65.56147	65.34410	65.36579	
131.1137	131.1145	131.1133	131.1133	131.1137	131.1136	131.1146	131.1144	131.1138	131.1135	
262.1931	262.1961	262.1959	262.1930	262.1920	262.1936	262.1937	262.1952	262.1930	262.1941	
